"Reviewed_by_Group_Name","Date","searchtext","Parcel_ID","address","address_ver","address_rev","Property_Type","Other_Please_elaborate","General_Property_Information","X_of_Stories","X_1_Minor_Defects_check_all_th.MIN_NP","X_1_Minor_Defects_check_all_th.MIN_RFSWY","X_1_Minor_Defects_check_all_th.MIN_RFTILE","X_1_Minor_Defects_check_all_th.MIN_FOUND","X_1_Minor_Defects_check_all_th.MIN_WINDDO","X_1_Minor_Defects_check_all_th.MIN_WINDPAN","X_1_Minor_Defects_check_all_th.MIN_UNFINW","X_1_Minor_Defects_check_all_th.MIN_MISSDA","X_1_Minor_Defects_check_all_th.MIN_INSUL","X_1_Minor_Defects_check_all_th.MIN_ROT","X_1_Minor_Defects_check_all_th.MIN_RAILS","X_1_Minor_Defects_check_all_th.MIN_PORCH","X_1_Minor_Defects_check_all_th.MIN_PORJUNK","X_1_Minor_Defects_check_all_th.MIN_CHIMN","X_1_Minor_Defects_check_all_th.MIN_PAINT","X_1_Minor_Defects_check_all_th.MIN_GUTTER","X_2_Major_Defects_check_all_th.MAJ_NP","X_2_Major_Defects_check_all_th.MAJ_RFSWY","X_2_Major_Defects_check_all_th.MAJ_RFTILE","X_2_Major_Defects_check_all_th.MAJ_FOUND","X_2_Major_Defects_check_all_th.MAJ_WINDDO","X_2_Major_Defects_check_all_th.MAJ_SIDING","X_2_Major_Defects_check_all_th.MAJ_ROT","X_2_Major_Defects_check_all_th.MAJ_PORCH","X_2_Major_Defects_check_all_th.MAJ_CHIMN","X_3_Yard.YARD_SATIS","X_3_Yard.YARD_MOW","X_3_Yard.YARD_OVRGR","X_3_Yard.YARD_VHINOP","X_3_Yard.YARD_VHPARK","X_3_Yard.YARD_GRCOV","X_3_Yard.YARD_MAJCL","X_4_General_Condition_Aesthetic","X_5_Comments","Attach_a_picture_of_the_proper_1","Attach_a_picture_of_the_proper_2","Attach_a_picture_of_the_proper_3","Attach_a_picture_of_the_proper_4","start","end","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","X_version","X_duration","X_submitted_by","ParcelID"
"Jamie",2016-06-07,"M0140179","M0140179000","NA","No","108 Williams St","SF_NOGAR",NA,"OCCUP","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035214?filename=communitymapuga/attachments/1465310407394.jpg",NA,NA,NA,2016-06-03 21:51:43,2016-06-07 10:40:17,"uuid:7f3b50b0-cf40-4984-ac7b-b8401658adde","7f3b50b0-cf40-4984-ac7b-b8401658adde","2016-06-30T16:07:54",NA,NA,201606011515,305314,"communitymapuga","M0140179000"
"Jamie",2016-06-07,"M0140180","M0140180000","NA","No","112 Williams St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035216?filename=communitymapuga/attachments/1465310644404.jpg",NA,NA,NA,2016-06-07 10:40:43,2016-06-07 10:44:13,"uuid:eb1170c1-46f1-4f7d-bae2-cca81a1ce08a","eb1170c1-46f1-4f7d-bae2-cca81a1ce08a","2016-06-30T16:07:57",NA,NA,201606011515,210,"communitymapuga","M0140180000"
"Jamie",2016-06-07,"M0140202","M0140202000","NA","No","248 N Midland Av","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035218?filename=communitymapuga/attachments/1465310891549.jpg",NA,NA,NA,2016-06-07 10:44:52,2016-06-07 10:48:21,"uuid:37829d0e-a215-444b-a9ae-439e066a73de","37829d0e-a215-444b-a9ae-439e066a73de","2016-06-30T16:08:00",NA,NA,201606011515,209,"communitymapuga","M0140202000"
"Jamie",2016-06-07,"M0140204","M0140204000","NA","No","300 N Midland Av","SF_NOGAR",NA,"OCCUP","one","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035220?filename=communitymapuga/attachments/1465311201036.jpg",NA,NA,NA,2016-06-07 10:48:56,2016-06-07 10:53:37,"uuid:5df84fbe-e58e-4aaf-bfe6-9bab7acc528e","5df84fbe-e58e-4aaf-bfe6-9bab7acc528e","2016-06-30T16:08:03",NA,NA,201606011515,281,"communitymapuga","M0140204000"
"Jamie",2016-06-07,"M0120103","M0120103000","NA","No","305 Edwards St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035222?filename=communitymapuga/attachments/1465311602397.jpg",NA,NA,NA,2016-06-07 10:53:50,2016-06-07 11:00:09,"uuid:383ce36e-3caa-435b-abd9-2bf212e1ab5c","383ce36e-3caa-435b-abd9-2bf212e1ab5c","2016-06-30T16:08:05",NA,NA,201606011515,379,"communitymapuga","M0120103000"
"Jamie",2016-06-07,"M0140205","M0140205000","NA","No","304 Edwards St","SF_NOGAR",NA,"OCCUP","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035223?filename=communitymapuga/attachments/1465311870086.jpg",NA,NA,NA,2016-06-07 11:00:21,2016-06-07 11:04:39,"uuid:3fb411ef-8b9e-4a32-9f9c-0dc753ea4218","3fb411ef-8b9e-4a32-9f9c-0dc753ea4218","2016-06-30T16:08:07",NA,NA,201606011515,258,"communitymapuga","M0140205000"
"Jamie",2016-06-07,"M0140205","M0140205000","NA","No","310 Edwards St","DUPLEX",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035231?filename=communitymapuga/attachments/1465312011670.jpg",NA,NA,NA,2016-06-07 11:04:58,2016-06-07 11:06:58,"uuid:7be10b38-bc16-4b50-ba06-aac1fa4f03c9","7be10b38-bc16-4b50-ba06-aac1fa4f03c9","2016-06-30T16:08:10",NA,NA,201606011515,120,"communitymapuga","M0140205000"
"Jamie",2016-06-07,"M0120106","M0120106000","NA","No","312 Edwards St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035237?filename=communitymapuga/attachments/1465312241152.jpg","http://classic.ona.io/api/v1/files/2035236?filename=communitymapuga/attachments/1465312263505.jpg","http://classic.ona.io/api/v1/files/2035238?filename=communitymapuga/attachments/1465312285628.jpg",NA,2016-06-07 11:07:08,2016-06-07 11:11:31,"uuid:bfef857c-939a-4689-8323-3a4a882f169f","bfef857c-939a-4689-8323-3a4a882f169f","2016-06-30T16:08:13",NA,NA,201606011515,263,"communitymapuga","M0120106000"
"Jamie",2016-06-07,"M0120107","M0120107000","NA","No","316 Edwards St","SF_GAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good","Vegetation growing some in gutters","http://classic.ona.io/api/v1/files/2035240?filename=communitymapuga/attachments/1465312561933.jpg",NA,NA,NA,2016-06-07 11:12:43,2016-06-07 11:16:37,"uuid:ca61ee67-d426-4c5c-87f1-a46f493e8912","ca61ee67-d426-4c5c-87f1-a46f493e8912","2016-06-30T16:08:15",NA,NA,201606011515,234,"communitymapuga","M0120107000"
"Jamie",2016-06-07,"M0120108","M0120108000","NA","No","320 Edwards St","SF_NOGAR",NA,"FOR_SALE","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","Good","Mattress in yard for awhile","http://classic.ona.io/api/v1/files/2035244?filename=communitymapuga/attachments/1465312777966.jpg","http://classic.ona.io/api/v1/files/2035243?filename=communitymapuga/attachments/1465312800285.jpg",NA,NA,2016-06-07 11:16:47,2016-06-07 11:20:05,"uuid:89941299-f132-4182-807a-d89c9a1943cb","89941299-f132-4182-807a-d89c9a1943cb","2016-06-30T16:08:19",NA,NA,201606011515,198,"communitymapuga","M0120108000"
