ID,Phy_addres,lon,lat,hexbin
C0750145000,,-83.7722472,33.79502056,18147
C0990001000,,-83.75269754,33.76754119,149
,,-83.74822653,33.77253986,396
C0750089000,,-83.77447339,33.8123012,18155
C1250001000,,-83.69479431,33.82223109,3574
C1210089000,,-83.71191965,33.83703783,2474
C1230061000,,-83.68608556,33.82934054,4153
C1210055000,,-83.68617711,33.83501069,4156
C1270001000,,-83.68725234,33.81595895,4002
C0930007000,,-83.75240138,33.79487935,162
C0750018000,,-83.78283853,33.79457232,17647
C0750144000,,-83.77684888,33.79419722,17898
C0750088000,,-83.7730478,33.81458238,18156
C0750088A00,1681 TROY SMITH ROAD,-83.7751705,33.81571478,18032
C0750149000,,-83.76413688,33.79672286,18648
C0760122000,,-83.7742796,33.78506156,18018
M0050041000,,-83.72037223,33.82183323,1936
M0230023A00,1305 BAKER STREET,-83.6866396,33.80207696,4141
M0040002000,,-83.73696581,33.81886689,1042
M0110009000,,-83.71551303,33.81404488,2329
M0230021000,,-83.68623208,33.80587311,4143
M0240106000,,-83.68744368,33.796602,3993
M0050041000,,-83.70971687,33.8279861,2604
M0290003000,,-83.74558221,33.82277856,542
C0760048000,,-83.77395923,33.77932622,18140
C0760075000,,-83.76283737,33.78206094,18767
C0760072A00,451 COGGINS ROAD,-83.75970037,33.78161938,18891
C0760070G00,499 COGGINS ROAD,-83.76469542,33.78128527,18641
C0760070H00,1420 GEORGIA HIGHWAY 138,-83.76300598,33.78368787,18642
N076D037000,,-83.77209972,33.77599748,18263
N076D028000,,-83.77013604,33.77746807,18264
N076D027000,,-83.77039726,33.77782842,18264
N076D018000,,-83.7713596,33.77785576,18264
N076D017000,,-83.77174036,33.77767007,18264
N076D019000,,-83.77204983,33.77829512,18264
N076D016000,,-83.77212428,33.77749181,18139
N077C011000,,-83.7689776,33.77055549,18385
N077C010000,,-83.76947081,33.77033943,18385
N076B008A00,0 KALLIE LANE,-83.7710616,33.77425497,18262
C0760080000,,-83.76204528,33.78429773,18768
C0760117000,,-83.7678256,33.78337838,18391
C0760102000,,-83.76630268,33.78475749,18517
C0760108000,,-83.76194799,33.78507069,18768
C0760103000,,-83.76518449,33.78476858,18517
C0760112000,,-83.76496493,33.78400435,18642
C0760084000,,-83.76100705,33.78548723,18768
C0760085000,,-83.76096831,33.78606331,18893
C0760076000,,-83.76184466,33.78223452,18767
C0760068000,,-83.76685663,33.78139731,18515
C0760081000,,-83.75912863,33.78626783,18893
C0760118000,,-83.7687322,33.78290392,18391
C0760121000,,-83.77115094,33.78197292,18266
C0760055000,,-83.76803262,33.77755503,18388
C0760090000,,-83.76899342,33.79202687,18395
C0760077000,,-83.76226087,33.78284969,18767
C0950001B00,789 ROWE ROAD,-83.75713807,33.79282598,19019
C0760056000,,-83.76776728,33.77719552,18388
C0760048B00,1746 GEORGIA HIGHWAY 138,-83.77290198,33.77986131,18140
C0760065000,,-83.76482169,33.77701802,18639
C0760066C00,519 CAMP LAKE ROAD,-83.76671899,33.77998218,18515
C0760071000,,-83.76071098,33.77706985,18889
C0760070A00,0 COGGINS ROAD,-83.76394921,33.78171058,18641
C0760066D00,509 CAMP LAKE ROAD,-83.76648852,33.77961362,18515
C0760080A00,,-83.76217819,33.78405327,18768
C0760073000,,-83.76161405,33.78453306,18768
C0760111A00,1445 GEORGIA HIGHWAY 138,-83.76378175,33.78445669,18642
C0760050A00,1645 GEORGIA HIGHWAY 138,-83.77023695,33.78044075,18265
C0760049000,,-83.77114507,33.78065441,18265
N077C012000,,-83.76848468,33.77077313,18385
N076B029000,,-83.77064862,33.77187561,18261
N077A023000,,-83.75983701,33.77124548,18886
N077A024000,,-83.76019331,33.77053311,18886
C0760070F00,1520 GEORGIA HIGHWAY 138,-83.76458713,33.78279005,18641
C0760069000,,-83.76716567,33.78249382,18516
N095A010000,,-83.74547059,33.78542346,525
C0950033000,,-83.74647306,33.78301673,524
C0970017000,,-83.74408503,33.77512201,643
C0970006000,,-83.74381127,33.77887969,645
C0970001A00,910 RAO ROAD,-83.74374215,33.78189283,647
C0970022000,,-83.7447117,33.7729491,642
C0950005B00,0,-83.75543058,33.7856609,36
C0970016000,,-83.74443729,33.77566643,644
C0970018000,,-83.74370391,33.77480108,643
C0950018000,,-83.74620981,33.78741166,526
C0950008000,,-83.74685288,33.78912193,526
C0950007000,,-83.74817674,33.78881409,404
C0970007000,,-83.7435621,33.77828704,645
C0760089000,,-83.75919021,33.79166878,18896
C0950003000,,-83.75695145,33.78460711,19015
C0950003A00,0,-83.75553861,33.78453212,35
C0950004000,,-83.75703162,33.78548663,19015
C0950005F00,0,-83.75480143,33.78444684,35
C0950005D00,0,-83.75521924,33.78501599,35
C0950005C00,0 GEORGIA HIGHWAY 138,-83.75622794,33.78617482,36
N077C013000,,-83.76801922,33.77098301,18385
C0760048E00,0 GEORGIA HIGHWAY 138,-83.77175477,33.78041887,18265
C0760048D00,0 GEORGIA HIGHWAY 138,-83.77203031,33.78027972,18265
C0760048A00,1740 GEORGIA HIGHWAY 138,-83.77246389,33.78007382,18140
C0760066F00,489 CAMP LAKE ROAD,-83.766017,33.77888906,18514
C0760066G00,479 CAMP LAKE ROAD,-83.76577144,33.77853161,18514
C0760066B00,529 CAMP LAKE ROAD,-83.76725255,33.7802859,18515
C0760066E00,499 CAMP LAKE ROAD,-83.76625677,33.77924975,18514
C0760066A00,549 CAMP LAKE ROAD,-83.76647769,33.78032787,18515
C0760066K00,449 CAMP LAKE ROAD,-83.76507135,33.77741575,18639
C0760066J00,459 CAMP LAKE ROAD,-83.76530052,33.777796,18639
C0760066H00,469 CAMP LAKE ROAD,-83.76553453,33.77816798,18514
C0760070000,,-83.76367049,33.77732985,18639
C0760058A00,448 CAMP LAKE ROAD,-83.76620339,33.77700184,18513
C0760050B00,528 CAMP LAKE ROAD,-83.76906237,33.77908527,18389
N076D025000,,-83.77089488,33.77855901,18264
C0760050000,,-83.76879935,33.77865553,18389
N076D026000,,-83.77064004,33.77819981,18264
C0760058000,,-83.76656473,33.77683481,18513
C0760060000,,-83.76697476,33.77655876,18513
C0760062000,,-83.76621316,33.7764356,18513
C0760067000,,-83.76797105,33.78171844,18390
C0760052000,,-83.76918207,33.78100176,18390
C0760051B00,538 CAMP LAKE ROAD,-83.76936174,33.77960194,18389
C0750147000,,-83.76970865,33.7933298,18271
C0760119000,,-83.76921637,33.7828225,18390
C0760120000,,-83.76961205,33.78274459,18266
C0760051A00,1645 GEORGIA HIGHWAY 138,-83.77041905,33.78257937,18266
C0760070B00,0 CAMP LAKE ROAD,-83.76503816,33.77383891,18637
C0760104000,,-83.76383332,33.78546547,18643
C0760082000,,-83.75983239,33.78597985,18893
C0760086000,,-83.76154242,33.78679312,18769
C0760110000,,-83.76325371,33.7847958,18642
C0760109000,,-83.76264849,33.78501098,18768
C0760105000,,-83.76312199,33.78573671,18643
C0760106000,,-83.76254725,33.78609435,18768
C0760113000,,-83.7658524,33.78397648,18517
C0760114000,,-83.76633039,33.78379021,18516
C0760116000,,-83.76846417,33.78359016,18391
C0760088000,,-83.76216909,33.78822168,18769
C0760083000,,-83.76027629,33.78789892,18894
C0760095A00,846 ROWE ROAD,-83.76534037,33.79026908,18645
C0760092000,,-83.76638656,33.79137274,18520
C0760091A00,900 ROWE ROAD,-83.76751051,33.79152133,18520
C0760091000,,-83.76943321,33.79077732,18394
C0760074000,,-83.75934721,33.78464175,18892
,,-83.7686283,33.78164224,18390
C0950001000,,-83.75497426,33.78984403,38
C0950034000,,-83.74489845,33.78286128,647
N097A002000,,-83.74432466,33.77994908,646
N097A001000,,-83.74408026,33.78096015,646
N097A004000,,-83.74702464,33.77784959,521
N097A005000,,-83.74803875,33.77755207,399
N097A009000,,-83.74937539,33.77959988,277
N097A010000,,-83.74861247,33.77981833,400
N097A011000,,-83.74796034,33.78014213,400
N097A012000,,-83.74730289,33.7805033,400
N097A013000,,-83.74657033,33.78103037,523
N095A003000,,-83.74404201,33.78545927,648
N095A030000,,-83.74395653,33.78636414,649
N095A029000,,-83.74454954,33.78645248,649
N095A028000,,-83.74513254,33.78652047,525
N095A027000,,-83.74566602,33.78659229,525
N095A026000,,-83.74616588,33.78661825,525
N095A025000,,-83.74669688,33.78661555,525
N095A024000,,-83.74728041,33.78655102,525
N095A021000,,-83.74798833,33.7852066,402
N095A020000,,-83.74776303,33.78483625,402
N095A019000,,-83.74752834,33.7844711,402
N095A013000,,-83.747133,33.78561352,525
N095A012000,,-83.74650132,33.78569014,525
N095A014000,,-83.7467154,33.78508659,525
N095A011000,,-83.74593321,33.78545879,525
N095A008000,,-83.74498541,33.78501075,648
N095A009000,,-83.74484991,33.7856214,648
C0950005E00,0,-83.7558604,33.78558202,36
C0950005000,,-83.75392235,33.78619478,36
C0950005A00,0 GEORGIA HIGHWAY 138,-83.75556822,33.7863164,36
C0970015000,,-83.74400033,33.77643867,644
C0970021000,,-83.74348231,33.77374788,643
C0760072000,,-83.75684383,33.77877836,19012
C0760072B00,0 COGGINS ROAD,-83.7585448,33.78314493,19014
N077C018000,,-83.7661331,33.76988116,18510
N077C017000,,-83.76530536,33.77039467,18510
N077C016000,,-83.76560782,33.7711632,18511
N077C015000,,-83.76646621,33.77181653,18511
N077C014000,,-83.76754037,33.77124774,18385
N076B025000,,-83.76952451,33.77140574,18385
N076B026000,,-83.76861698,33.77191509,18385
N076B027000,,-83.76912506,33.7723862,18386
N076B028000,,-83.76992335,33.77218797,18261
N076B012000,,-83.76980412,33.772818,18386
N076B010000,,-83.76929341,33.77455391,18387
N076B009000,,-83.77022236,33.7741178,18262
N097A003000,,-83.74530323,33.77871469,645
N077A018000,,-83.76327788,33.77006537,18636
N076B013000,,-83.77058374,33.77251057,18261
N076B033000,,-83.77177579,33.77499906,18262
N076B035000,,-83.77078339,33.77509937,18262
N076B011000,,-83.76820415,33.77303441,18386
C0760063000,,-83.76670519,33.77413561,18512
